confidence,end,id,metadata,start,text,type
1.0,,2025,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2025""}",,2025,DATE
1.0,,34,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""34""}",,34,CARDINAL
1.0,,1,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""1""}",,1,CARDINAL
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,2025,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2025""}",,2025,DATE
1.0,,153,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""153""}",,153,CARDINAL
1.0,,0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""0""}",,0,CARDINAL
1.0,,AI,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""AI""}",,AI,GPE
1.0,,HPC,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""HPC""}",,HPC,ORG
1.0,,124,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""124""}",,124,CARDINAL
1.0,,2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2""}",,2,CARDINAL
1.0,,end_char=31,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""end_char=31""}",,end_char=31,PERSON
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,HPC,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""HPC""}",,HPC,ORG
1.0,,AI,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""AI""}",,AI,GPE
1.0,,Clear Street's,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Clear Street's""}",,Clear Street's,ORG
1.0,,Owen Lau,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Owen Lau""}",,Owen Lau,PERSON
1.0,,158,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""158""}",,158,CARDINAL
1.0,,3,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""3""}",,3,CARDINAL
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,Clear Street's,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Clear Street's""}",,Clear Street's,ORG
1.0,,Entity(text='Owen Lau',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Entity(text='Owen Lau'""}",,Entity(text='Owen Lau',PERSON
1.0,,Owen Lau',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Owen Lau'""}",,Owen Lau',PERSON
1.0,,UNI,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""UNI""}",,UNI,ORG
1.0,,more than 125 million,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""more than 125 million""}",,more than 125 million,CARDINAL
1.0,,742,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""742""}",,742,CARDINAL
1.0,,137,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""137""}",,137,CARDINAL
1.0,,3,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""3""}",,3,CARDINAL
1.0,,start_char=31,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""start_char=31""}",,start_char=31,PERSON
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,Entity(text='more than 125 million,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Entity(text='more than 125 million""}",,Entity(text='more than 125 million,MONEY
1.0,,more than 125 million,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""more than 125 million""}",,more than 125 million,CARDINAL
1.0,,Chunk(text='Changpeng Zhao,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Chunk(text='Changpeng Zhao""}",,Chunk(text='Changpeng Zhao,PERSON
1.0,,100,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""100""}",,100,CARDINAL
1.0,,2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2""}",,2,CARDINAL
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,Changpeng Zhao',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""Changpeng Zhao'""}",,Changpeng Zhao',PERSON
1.0,,Chunk(text='Five years,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""chunk(text='five year""}",,Chunk(text='Five years,DATE
1.0,,CME,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""CME""}",,CME,ORG
1.0,,100,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""100""}",,100,CARDINAL
1.0,,2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2""}",,2,CARDINAL
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
1.0,,five year',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""five year'""}",,five year',DATE
1.0,,CME,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""CME""}",,CME,ORG
1.0,,FSTB,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""fstb""}",,FSTB,ORG
1.0,,next year,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""next year""}",,next year,DATE
1.0,,110,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""110""}",,110,CARDINAL
1.0,,2,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""2""}",,2,CARDINAL
1.0,,Entity(text='next year',"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""entity(text='next year'""}",,Entity(text='next year',DATE
1.0,,confidence=1.0,"{""extraction_method"": ""ml"", ""model"": ""en_core_web_sm"", ""lemma"": ""confidence=1.0""}",,confidence=1.0,ORG
